id sire dam hwpmgs bwt
3926184901332 3884145831034 3884145731305 392855842 230
3926184911824 3884145831034 3884151161006 392654842 247
3926184912019 3884145831034 3884151221716 392605841 292
3926184981058 3884145831034 3884136351474 392855842 254
3926184992029 3884145831034 3884151121101 392855842 229
3926187101128 3887151131917 3887145791014 392604871 270
3926187101818 3887154331612 3887151172107 392756872 246
3926187111614 3887151131917 3887151161728 392754872 244
3926187151118 3887151182033 3887145751944 392604871 316
3926187171821 3887154331612 3887151192126 392756872 245
3926187211614 3887142681156 3887151151419 392805871 289
3926190251226 3890151161123 3890145751831 392855902 265
3926190261409 3890154291230 3890151121037 392756902 233
3926190271224 3890142681159 3890148892054 392656902 237
3926190281520 3887145822126 3890151162134 392856902 228
3926190291425 3890154281913 3890148911337 392755902 234
3926190291429 3890157511312 3890148911337 392804901 282
3926190311216 3890151161123 3890145831049 392855902 226
3926190331120 3890142681159 3890145801950 392705901 280
3926190351021 3890157511312 3890142561462 392654902 217
3926193422001 3893160581907 3893160682108 392756932 213
3926193431511 3893151111325 3893154281114 392654932 234
3926193441414 3893151131942 3893154281208 392856932 230
3926193471001 3893160581907 3893145701767 392754932 219
3926193471401 3893160581907 3893151121933 392756932 245
3926193471403 3893151131942 3893151121933 392804931 269
3926193481504 3893151191636 3893154251338 392604931 285
3926193531705 3893154281931 3893154371029 392756932 233
3929184912032 3884145831034 3884151221716 392954842 261
3929184921446 3884145831034 3884145821901 393154842 249
3929184941444 3884145831034 3884145791005 392956842 238
3929184962051 3884142621731 3884151151211 393005842 276
3929184992045 3884142621130 3884151121101 393156842 241
3929187101425 3887154262109 3887148951929 393055872 252
3929187151135 3887151131917 3887145751944 393155872 235
3929187171541 3887151131917 3887151121223 392955872 259
3929187171633 3887145751439 3887151132121 393056872 262
3929187191637 3887154331612 3887151132119 393054872 265
3929187191726 3887145751439 3887151211002 392905871 307
3929190261331 3890145801830 3890148892055 393106901 312
3929190261604 3890154291230 3890151201931 392954902 243
3929190261614 3887145822126 3890151201931 393105901 282
3929190282112 3890154291230 3890157451906 393054902 251
3929190291032 3890154281913 3890145701758 393055902 245
3929190291435 3890151161738 3890148911337 393055902 230
3929190292033 3890154291230 3890154361217 393005901 271
3929190311715 3890154262114 3890151221736 392955902 245
3929190341625 3887145822126 3890151201719 393054902 257
3929190361231 3890154281913 3890145831053 392904901 283
